,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
1041,sniffed,,,the air,,,,,,
1042,scent,her,,the,,,I,,,
1043,smell,it,,,,from here,I,,,
1044,Perfume,Mousse|chan|Ranma|Nabiki|Taro creep,,,,,,,,
1045,Perfume|Perfume,- chan|Ucchan|Perfume|Perfume,,,,,,,,
1046,scent,my|that freakazoid,,,,,,,,
1047,smell,the roasting meat of those two rabbits,,,,,she,,,
1048,reek,the old fart,,,,,,,,
1049,smell,of cooking rabbits,,,,,,,,Nabiki felt herself go flush|a tightness in her abdomen caused her to gasp aloud and get suddenly nauseous
1050,Perfume,,,,,,to the others,,,
1051,scent,Nabiki ' s,,,,,I,,,
1052,Perfume,,,in the wind,,,,,,
1053,Perfume,Perspiration,,,,,,,,
1054,Perfume|Perfume,,,,,,,,,that even Perfume|Perfume had difficulty determining that her husband had physically departed
1055,Perfume,,,,,,,,,was driving me nuts
1056,Perfume,Ukyo,,,,,he,,,
1057,Perfume,Nabiki|Nabiki,,,,,,,,
1058,Perfume|Perfume,Perfume|Perfume|Nabiki,,,,,,,,
1059,Perfume,of,,,,,,,,
1060,Perfume,Nabiki,,,,,,,,
1061,Perfume,Nabiki,,,,,,,,with a growing sense of dread
1062,Perfume,,as hard,,as if she had been practicing katas,,,,,
1063,Perfume,those melons,,,,,,,,
1064,foul|foul|smelling|smelling,,foul|foul - smelling|smelling,,,,,,,
1065,Perfume,Nabiki,,,,,,,in,
1066,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1067,Perfume,,,,,,,,,her own confusion and sadness
1068,nose,the vampire,,,,,,,,
1069,famished,,,,,,I,,,
1070,Perfume|Perfume|Fragrance|Fragrance,Perfume|Perfume|Fragrance|Fragrance,,,,,,,,
1071,smell|sniff|aroma,of cooking bacon and eggs,,,,,her|her|she|she,the day,,which surprised her|her|that she|she pried open both eyes and
1072,aroma,their,,,,,,,,
1073,scent,of death,,,,,I,,,
1074,smelled,of chestnuts|springtime,,,,,,,,that
1075,Perfume,Nabiki,,,,,,during the night,,
1076,Perfume,Ukyo,,,,,,,,
1077,Perfume,Shampoo,lots more closer,,,,,,,
1078,Perfume,Ranma - kun,,,,in the hallway,,,,
1079,Perfume|Perfume,Nodoka,,,,,,until that instant,,surprising both Ukyo and Perfume|Perfume
1080,Perfume,Nodoka,,,,,,,,
1081,Perfume,,unusually embarrassed,,,,,,,
1082,scent,your|Nodoka,,,,,,,,
1083,Perfume,Nabiki,,,,,,at times in the morning,,
1084,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
1085,Perfume,Ukyo,,,,,he,nowadays,,
1086,Perfume,Arigami,,,,,,,,
1087,Perfume,,,,,towards the campus,,,,
1088,Perfume,,,,,,she,,,suffering a renewed case of hormonal arousal
1089,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1090,Perfume,Ukyo,,,,,she|she,,,she|she|a certain twinge of bemusement
1091,Perfume|Perfume,Perfume|Perfume|Ukyo,,,,,,,,
1092,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1093,smell,they,the same,,as any other bunch of mortals,,,,,
1094,scent,of impending disaster,,,,,they,,,
1095,scent,of terror,enticing,,,,a mortal,,when ingested whole by a,
1096,Perfume,Ukyo|the Amazon,,,,,,,,
1097,smelled,,faintly sulfurous,,,,,,,
1098,Perfume|Perfume,Ranchan|Perfume|Perfume,,,,,,,,
1099,Perfume,,,,,,her senses,,,
1100,Perfume,Ukyo,,,,,,,,
1101,Perfume|Perfume,Perfume|Perfume|LATISHA,,,,,,,,
1102,Perfume|Perfume|smell,Perfume|Perfume,,,,,I,,,
1103,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1104,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1105,smell,of ozone,,,,,She,,,
1106,reeked,,divine,,of,,,,,
1107,Perfume,,,,,,,,,attempting to revive their stricken husband
1108,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1109,Perfume,,,,,on the opposite end of the yard,,,,
1110,Perfume,san,,,,,,,,
1111,odor|stench,,foul|evil,,,,,,,that clouds his mind
1112,Perfume,unconscious,,,,,,,,
1113,stench,it,foul,,,,,,,caused many to grip their noses to keep from retching
1114,Smells|stench|Smells,this,,,like a diet|like,,me|I|I,,,I|I ' m almost feeling nostalgic
1115,odor|foul|foul|smells,MON DIEU|zhis|It,foul|foul|worse,,zhan zee Seine,,,,at low tide,
1116,Perfume|Perfume,Ranchan|Ucchan|Perfume|Perfume,,,,,,,,
1117,Perfume|Perfume,Ranma|kun|Perfume|Perfume,,,,,,,,
1118,Perfume|Perfume,Ranma,,,,,,,,
1119,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1120,Perfume,,,,,,Kaneda|he,,,
1121,noisome|noisome,,noisome|noisome,,,in the next room,,,,
1122,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
1123,scent,of blood,familiar,a stray breeze,,,to her sensitive nostrils,,,
1124,Perfume|Perfume,RANCHAN,,,,,,,,
1125,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1126,smell,blood,,,,,I,,,
1127,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1128,sniffing,,,,,the area,,,,
1129,Smells,,different from human,,,,she,,,
1130,Perfume,Ucchan,,,,,,,,
1131,sniffed,the air|the strawberry redhead,,,,,,,,
1132,smelling|smelling,girl|Incense,nice|smelling|smelling,,,,,,,
1133,Perfume,Kurustani,,,,,,,,
1134,smell,,bad,,,,you,,,
1135,Perfume,,,,,,,that very morning,,
1136,Perfume,Air|Vaccuum,,,like the kind you get with that plastic bubble wrap,,,,,
1137,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1138,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1139,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1140,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1141,Perfume,,,,,in a home,,,,
1142,It|Perfume,,much worse,,,,,,,
1143,Perfume,,,,,from the other end of the house,they|the others,,,
1144,Perfume|Perfume,Shampoo|Ukyo|Perfume|Perfume,,,,,,,,
1145,smell,,,,like the people of Nerima,,she,,,
1146,stench,of many perspiring bodies,musty,,,,,,,
1147,smelling,unleavened bread|wine,so cheap,,,,,,,that it was practically vinegar
1148,buzz,,pleasant,the air,,,,,,that
1149,scent,Miriam ' s,a freshness,,,,,,,
1150,smelled,the blood,,,,,I,,,
1151,perfume|aroma,of the Eluini ' s vulnerable shoulder,,,like,,,,,
1152,Perfume,,naively trusting,,,,,,,
1153,odors,of cheap wine and vomit,musty|dank,,,,,,,
1154,scent,of his wife,,,,,he,,,
1155,smell|perfume,her,,,,,I,,,
1156,aromas,,lush|variously exotic,,,,,,,
1157,smelled,whom|of|of cat - fur,strangely,,of|of,,,,,
1158,smells,She|of|of dog|dog fur|fur,,,of|of dog|dog fur|fur,,,,,
1159,sniff|scent,of lilacs,,of the air,,,I,,When she was hear,
1160,Perfume,woman,,,,,,,,
1161,scent,his,,,,,,,,
1162,smell,,,,like him,,,,,
1163,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1164,Perfume,,,,,,,,,that made Ranma palpably aware
1165,Perfume,Shampoo|Ukyo,,,,,,,,
1166,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1167,Fem|Fem -|-|Perfume,,Fem|Fem -|- friendly,,,,,,,
1168,Perfume,that,,,,,,,,
1169,fetid|fetid vapors|vapors,vapors|vapors,fetid|fetid,,,,one,,,
1170,vibes,,really bad,,,,I,,,
1171,reeked,the|the|death|decay|corruption,,,,the|the temple,,,,
1172,stench,,such,,,,You,,,
1173,reek,ignorance|presumption,worst,,,,,,,
1174,reeking,unseemliness,,,the sort of vampire you only encountered in special - effects,,,,,
1175,Perfume|Perfume,Shampoo|chan|Ukyo|san|Perfume|Perfume|chan,,,,,,,,
1176,smell|scent,,refreshingly familiar,,of,,She|she,,,that left both of them feeling enormously grateful
1177,Perfume,Ranma,,,,,,,,
1178,smell,of blood|death,,,,,I,,,
1179,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1180,Perfume|Perfume,Shampoo,,,,,,,,
1181,Perfume,,,,,from the porch steps leading to the inner garden,,,,
1182,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1183,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
1184,Perfume,,,,,,,,,that it was chilling to those
1185,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1186,smell,it,,,like the traces of sex that you ' ve been having on the,,I,,,
1187,stink,these guys,,,of Special Forces,,,,,
1188,Perfume,,,,,their house,,,,
1189,scent,his,strange,,,,,,,
1190,scent,Takaharis|whose,quite strong,,,,,,,
1191,nose|stench,of a great many bodies,,,,the filthy streets,her,,,
1192,Smells,It,,,like one,,,,,
1193,aroma,incense|of Jasmine,pungent,the air,,,,,,
1194,smelled,a rat,,,,,You,,,
1195,stinking|stinking,,stinking|stinking,in a,,,me,,,
1196,smelly|smelly,,oily|smelly|smelly,,,,,,,
1197,stink,of this Charnel House and its unwashed disciple,,,,,,,,
1198,stink,of death|evil,,,,,,,,offends me greatly
1199,smell,of rotting meat,,The very air|the,,,,,,
1200,nose|smell,,,,as though she were treading through a graveyard,,She|her,,,
1201,Perfume,,,,,,,In our time,,
1202,stink,I|of wet bird feathers,,,,,,,,
1203,Perfume,Mousse,,,,,,,,
1204,fetid|fetid,,fetid|fetid,,,,,,,
1205,scent,,musty,,,,,,,
1206,smell,,,,,the unlit room,her,,even on the threshold of entering,
1207,smells|odor,of antiseptics,such|heavy pungent,,,,,,,
1208,smell|reeked,,entirely unpleasant,the air,,,,,,
1209,smelled|smell,of old and well - worn parchment,,,like a mausoleum|or a hospital for,,,,,
1210,stench|nostrils,of burned and rotting flesh,,,,,her,,,Nabiki covered them
1211,stink,,rank,the air|clean mountain breeze,of death,,her,,,
1212,stink,of the human,,,like a creature that had,,,for a whole entire year,,
1213,smell,camels|they,,,,,,,in the close confines of,
1214,sniff,,,the winds,,,,,,
1215,sniffed|smell,You,the same,,,,to me,,,
1216,smell,It,nice,,,,,,,
1217,smell,you,,,like perfume,,,,,
1218,sensuous|sensuous,,sensuous|sensuous,in the wind,,,,,,it|s driving me to distraction
1219,scent,,intoxicating|thine,,,,,,,
1220,foul|foul|fetid|fetid,,foul|foul|fetid|fetid,,,,,,,
1221,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1222,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
1223,smelled|foul|foul,something,foul|foul,in this circulated air,,,Talbain|I,,,
1224,reeks,Heinrick,,,,,,,,
1225,smell,the soba noodles,,,,,,,,
1226,sniff|Fragrance|Fragrance,little Fragrance|Fragrance,,,,,,,,
1227,Perfume,Nabiki,,,,,,,,
1228,Perfume|Perfume sniffed,Perfume|Perfume,,the air,,,,,,
1229,Perfume,Shampoo,,,,,,,,
1230,Perfume,""" Kimiguri",,,,,,,,
1231,smell,Airen|his,,,,,she,,,
1232,Perfume,,,,,,her,,,
1233,Fragrance|Fragrance,Lylac|Fragrance|Fragrance,,,,,,,,
1234,Perfume|sniffing,,,,like an affectionate hound,,,,,
1235,whiff|perfume|perfume,of grandmother ' s perfume|perfume,strong,,,,I,,in,
1236,Perfume|Perfume,Perfume|Perfume|Ranma,,,,,,,,
1237,snuffing,,,,like the wick of a candle,,,,,
1238,Perfume|Perfume,Shampoo|Ukyo|the magically|Nabiki|Perfume|Perfume,,,,,,,,
1239,sniffed,of steaming plasma,ionizing,,,,,,,
1240,Perfume,,,,,into the shadows,,,,
1241,smell,of blood,,,,,I|Kirins,,,
1242,sniffed,,,the air,,,Talbain,,,
1243,whiff,of something,,,,,I,,,
1244,scent,of Snake,distinctive,upon the breeze,,,,,,
1245,Fragrance|Perfume|fumes,,heavy trace,,,,her|other,,,to set her at ease
1246,Perfume|Perfume,,,,,,,,,
1247,Perfume,,,,,,she,,in the presence,
1248,Perfume|Fragrance,,,,,,,,,
1249,Perfume,,,,,,she,,,
1250,Perfume,,,,,,she,,,
1251,fragrances|scent|perfumes,human|human|oil -|wildflower blossoms,heavy|pleasantly pungent|human|human|based,,,towards the largest of the tents|a spacious,the nostrils,,,
1252,Perfume,Lenore|san,,,,,,,,
1253,Perfume|gawking,Shampoo|Lylac|Fragrance,,,,,,,,a shockwave to reverberate throughout
1254,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1255,Perfume,The Anti - Christ,,,,,,,,
1256,Perfume,,,,,,the|the Enforcer|Enforcer,,,causing the|the Enforcer|Enforcer to start in dismay
1257,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1258,Perfume|Perfume,Lylac|Perfume|Perfume|Chusen,,,,,,,,
1259,Perfume|Perfume,She|Perfume|Perfume|Ambergris,,,,,,,,
1260,Perfume|Perfume,,,,,,the|the Enforcer|Enforcer,,,which|set the|the Enforcer|Enforcer ' s hackles to stand on end
1261,Perfume,Balsam,,,,,,,,
1262,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1263,Perfume|Perfume,,,,,,,,,with a start
1264,Perfume|Perfume,Ukyo|Perfume|Perfume|cousin,,,,,,,,
1265,Perfume,,,,,,she|the other co - wives,,,
1266,Perfume|Perfume,Nabiki,,,,,,,,
1267,Fragrance|Fragrance,Fragrance|Fragrance,,,,,,,,
1268,Perfume,Shampoo|Nabiki|Ranma,,,,,,,,
1269,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1270,Perfume|Perfume|Perfume|Perfume,Ukyo|Perfume|Perfume|Perfume|Perfume,,,,,,,,
1271,reeked,He,,,,,,,,
1272,scents,,,,,,him|he,,,
1273,smell,of blood,,,,,,,,would greatly offend your father
1274,Perfume,,,,,,she,,,
1275,Perfume,Nabiki,,,,,,,,
1276,Perfume|Perfume,Perfume|Perfume,,,,in that secluded tent,,for the past few minutes,,
1277,Perfume|Perfume,Perfume|Perfume,,,,,,,,
1278,Perfume,,,,,,I,,,
1279,Perfume|Perfume|Fragrance|Fragrance,Perfume|Perfume|Fragrance|Fragrance,,,,,,,,
1280,Perfume|Perfume,Perfume|Perfume,faintly,,,the tent,,,,
1281,Perfume,,,,,the tent,,,,
1282,Perfume,Shampoo,,,,,,,,
1283,smell,some of you guys,,,like you could use a good shower,in here,,,,
1284,aroma,a finely ground herbal powder whose,rich,,,,Abhram|Abhram,,,brought a smile to his withered face
1285,foul|foul|smelling|smelling,air,foul|foul - smelling|smelling,,,,,,,
1286,odor,,,,,,I,,,
1287,smell|reek,anything,foul,,,in one place,you,,,
1288,smell,,,,,,I,,,
1289,smelling|smelling,air,odd - smelling|smelling,,,under the earth,,,,
1290,perfume,of her companion,sweet,,,,,this,,
1291,smell,of a nearby hot springs,sulfurous,,,,his,,,
1292,auras,,distinctive life,,,,,,,sooth Nabiki ' s sense of guilt
1293,Perfume,Sharil|Ukyo,,,,,,,,
1294,scent,Your,,,,,,,,
1295,smell,blood,,,,,I,,,
1296,aura,,intensely disturbing|incredibly potent,,,,,,,
1297,smell,of roasted pseudo - flesh,,,,,,,,
1298,smell,of Chaos spawn,,,,within this chamber,I,,,
1299,scent,the Eluini,,,,,,,,
1300,reeked,,,,of fanboy,,,,,
1301,,,,,,,,,,
1302,stench,His,,,,the entire store and electronics,,,,
1303,smell,he|that,,,,,,,,
1304,smell,Some people,,,,,,,,
1305,smell,that,,,,a booth at the back,,,,
1306,smell,,,,,into his cafe,,at the end of her shifts every day|on the weekends|when,,
1307,It,,,,,around the apartment,,,,
1308,smell,,delicious,,,"the old , abandoned building",,,,
1309,smelled,,strange,gust of wind,like the ocean,,,,,
1310,scent,his,,,,,Sciron,,,
1311,aroma,bowl of steaming hot rice|a small tub of molokhia|its,savoury,the air,,,,,,
1312,smells,It,amazing,,,,,,,
1313,smell,of blood,heavy,,,,James|he,,,
1314,smelling|smelling,carnations|tulips|roses,sweet - smelling|smelling,,,,,,,
1315,scent,his,stronger,,,,,,,
1316,smelling,She|of|of,,,of|of,,,,,
1317,scented|scented,,scented|scented,,,,,,,
1318,smell,The van,,,,in the hotel,,,,
1319,scent,his,stronger,,,,,,,
1320,smelled,She|of faint roses,,,,,,,,
1321,smelled,the iron,,in the air,,,Sciron,,,
1322,smell,the ocean,,,,from here,He,,,
1323,smell,his,baby,,,,,,,
1324,stench,of acid,,,,,His,,,
1325,reeking,of death|despair,,,,,,,,
1326,stank,He|of|of,,,of|of the Lethe,,,,,
1327,scent,of fresh grass,,,,,,,,and the heat of the city dissipated
1328,stench,Gabe|his pick - up lines,worse,,,,,,,
1329,odour,Gabe ' s,,,,,He,,,
1330,stench,,,,,,him|the Jacksons,,,
1331,inhale|smell,Pepe ' s baby,,,,,Sally,,,
1332,,,,,,,,,,
1333,,,,,,,,,,
1334,,,,,,,,,,
1335,,,,,,,,,,
1336,scent,of blooming myrtle from the plant,distant,,,,Menelaos|his,,,
1337,smell,nothing,,,,,Menelaos|he,,,
1338,scent,Helen ' s,,,,,,,,
1339,scent,that,,,,,,,,
1340,smell,A beta,,,,,,,,
1341,smelled,Alexander|this|he,,,,,,,,
1342,scent|scents,of myrtle|Helen|Alexander ' s,familiar|longed for,,,,he,,,
1343,scent,the mountain meadow|pine sap,,,,,his,,,
1344,scent,of myrtle and roses,,,,,Menelaos|Menelaos,,,that|Menelaos|Menelaos jerked awake
1345,smell,her,,,,,He,,,
1346,scent|smelled,Helen ' s|nothing,,the air,,,he,,even with the door still open,
1347,scent|smelled,of warm pine|he,Faint,,of,,,,,
1348,scent,her,insistent,,,,,,,
1349,scenting|scenting|scent|smelled,Helen ' s|Alexander,scenting|scenting|thickening,,like he should,,Menelaos,,,
1350,scent,her,rising,,,,,,,
1351,scent,Helen ' s,so thick,,,,Menelaos,,,it was as if one could bite down and actually chew it
1352,nose|smell|scent,he,alpha,,like clean beta|a quiet promise of summer - warmed grass,,his|he,,,
1353,scent,',,,,,,,,
1354,scent,,,,,,,,during ruts,"she was achingly , awfully hard"
1355,smell|scent,her own thick musk|Menelaos ',lighter,,,,she,,,that she might feel threatened
1356,scents|smell,their|of nectar and ambrosia|of sweat and sex,faint|pervasive,,,,,,,
1357,smelled|nose,of something,,,,,,,,
1358,smelling|scent,he,,,,,,,,
1359,scent,of Paris,,,,,,,,smacked her full in the face
1360,smelled|smelled,Paris|warm|warm pine|pine|Paris,very|more muted|brighter,,similar to Menelaos|warm|warm pine|pine sap|sun warmed grass,,,now,,
1361,smelled,Menelaos|he,little strange,,,,,,,
1362,scent,Menelaos ',,,,,,,,
1363,smelled,everything,sharp,,,,He|his,now,,
1364,smell,,plenty fine,,,,He|he,,,
1365,smell,all,,,,,Helen|she|he,,,
1366,smell,an omega,,,,,,,,
1367,sniff|smell,it,enough,from the pillow,like Helen,,,,,to settle the churn in his gut
1368,smelled|scent|smell|smelled,It|it|of the incense|it,vaguely soothing|good,,of something clean|of,,to him,,,
1369,smelled,He,good,,,,,,,
1370,scent|scent,of musk|oncoming rain|Helen ',mingled,,,,,,,to make things hurt a little less
1371,scent,Helen ' s,,,,,,,,a throbbing hole in his gut|he was feeling awfully lonely
1372,scent|smell,her,heavier,in the air,,,his,,,
1373,scents,of,mingled,,,in the room,,,,
1374,scent|smelled,her|of|of burning|burning honey|honey,,,of|of burning|burning honey|honey,,,,,didn ' t abate
1375,smell,the incense|her,,,,in the bedroom,,,,
1376,scent|smell,Her|her,much the same,,,,he,any,,
1377,scent,his,,,,,,,,
1378,smell,him,,,,even from here,she,,,
1379,scent,Agamemnon ' s bull,weighty,,,,,,,
1380,scent,her,,,,,,,,Something quivered warmly inside
1381,scent,his,,,,,he,,,
1382,scent,mountain meadow,softened|nearly sweet,,,,,,,
1383,smell,Agamemnon,,,,,She,,,
1384,smell,Paris,,,,,he,right,,
1385,smell,,beta,,,,,,,
1386,whiff|scent|smell,of|just salty air|mountain - meadow,spiced|sweetened|beta,the wind,,,him,,,
1387,,,,,,,,,,
1388,,,,,,,,,,
1389,smell,of roses,strong,,,,,,,
1390,smelled|smell,he,sweet|so strong,,,,she,For,,it made him dizzy
1391,,,,,,,,,,
1392,,,,,,,,,,
1393,,,,,,,,,,
1394,,,,,,,,,,
1395,,,,,,,,,,
1396,smell,the musk of the Lion,strong|virile,,,,Heracles,,,
1397,smell|smell,It|male|the sweat,,,of,,the,,,
1398,smell,It,strong,,,,,,,that made his head fell a little light
1399,smells,,disgusting,,,,,,,
1400,scents,of the Lion ' s tailhole,,,,,Heracles,,,
1401,It,,strong,,,,,,,
1402,smelling|tasting,musk|ass,-,,,,,,,
1403,,,,,,,,,,
1404,,,,,,,,,,
1405,,,,,,,,,,
1406,,,,,,,,,,
1407,,,,,,,,,,
1408,,,,,,,,,,
1409,,,,,,,,,,
1410,,,,,,,,,,
1411,,,,,,,,,,
1412,,,,,,,,,,
1413,,,,,,,,,,
1414,,,,,,,,,,
1415,stench,of your blood,,,,into my world,,,,
1416,smell,food,,,,of the building,he,,,
1417,smelled|smelled,white|a smoke,odd|terrible,,,from a small grate on the ceiling,They,,,had them starting to cough and gag in the room
1418,,,,,,,,,,
1419,,,,,,,,,,
1420,stinks|smell,of blood and rotten flesh,,,,The room,,,,
1421,stench|smell|perfume,of Death|of grass|of the wildflowers,,,,,Theseus,,,
1422,smelling,dry earth,,,like summer,,,,,
1423,scent,,,,,,,,,to conjure the memories inside of him
1424,scent,of the sun burning down on the earth,,,,,his,,,
1425,smells,The|The,,The|The air,like warm earth and salt,,,,,
1426,smell,it|blood,metallic,,,,his|he,,,
1427,scent,His,,,that of sandalwood|something,,,,,
1428,scent,of sea salt,lingering,in the air,,,,,,
1429,smell,,,,,,they,,,
1430,scent,of blood,metallic,,,,,,,
1431,stench,of blood,,,,over the camp,,these days|at all times,,
1432,scent,of sea salt|the olive soap,,,,,he,,,
1433,splatter,stream|its,soothing,,,,,,,
1434,smell|fragrant|fragrant,"the|the fresh air|of buds|the sun - warmed , dusty earth",fragrant|fragrant,the|the,,,He,,,
1435,smell,its corpse,,,,,I,even now,,
1436,stinks,of|of,,The air,of|of blood and sweat and fire,out here,,,,
1437,smell,of blood and iron,,in the air,,,,,,
1438,smells,his hair,,,it used to,,,,,
1439,,,,,,,,,,
1440,scent,Aphrodite|rose,sweet,,,,,,,scouring away the inhibitions that had held Menelaos back
1441,,,,,,,,,,
1442,,,,,,,,,,
1443,,,,,,,,,,
1444,reek,The|The|corruption|tyranny,,,,The|The old palace,,,,
1445,,,,,,,,,,
1446,smell,of grimes|sweats|blood|the never ending flows of blood,,,,,,,,
1447,scents,of figs and earth,mild,,,,him,,,
1448,smell,the dust and blood,,,,,he,,,
1449,smell,the brine of the sea,,,,,he,,,
1450,smell,the sea salt,,,,,Patroclus,,,
1451,scent,of sweat|something,sweet,,,,he,,,
1452,smell,Fish,,,,over,his|his,,,made his|his stomach turn
1453,smell,a cup of wine,,,,from a nearby table,Patroclus,,,to dissipate
1454,scent,of iron,heavy,,,,him,,,
1455,smell,of blood,coppery,,,the tent,they,,,
1456,smell,of blood|of arrows and spears,,,,,,,,
1457,smell|perfume,her,sweet,,,,around his,,,
1458,scented|scented,streaming water,scented|scented,,,,him,,,
1459,scented|scented,oils,scented|scented,,,,,,,
1460,scent,of fresh blood,heavy,,,,,,,made him a bit nauseous
1461,reek,You|blasphemy,,,of,,,,,
1462,scent,,sweet,,,,,,,
1463,scent,of sex,,them,,,,,,
1464,smell,Patroclus|of metallic,heavy,,,,him,,,
1465,scent,of blood,too much,,,,,,,
1466,scent,his,,,,,Achilles,,,
1467,scent,of metal,heavy,,,,him,when he entered,,
1468,smelled,Alexander,soft,,like warm sunshine and milk and honey,,,,,
1469,whiff,of apples,,,,about the place,,,,
1470,scent,,,,,,The other heads,,,
1471,inhaled|smelled,Regina,the same,,,,,,,
1472,scent,Regina ' s,,,,' s house,she|she,,,
1473,smelling,of the sea,,,,,,,,
1474,smell,of|of a|a canine|canine,,,of|of a|a canine|canine,,,,,
1475,smell,of fresh rain,,,,,her,,,
1476,sniffs,,,the air,,,,,,
1477,smells,It,,,,,,,after a rainstorm,
1478,smelling,It,,,of,,,,,
1479,,,,,,,,,,
1480,perfume smelled,your,,,like bread,,,,,
1481,,,,,,,,,,
1482,smelled,of|of sea salt|thick cut grass,faintly,the wind,of|of,on Krypton,,,,
1483,smells|stench,Kara|of|of fear,unmistakable,,of|of,,,,,
1484,smell|stench,of vanilla pipe tobacco|of old whiskey,strong,,,,Her senses,,,
1485,smell,,heavy Earthy,,,,She,,,chases away the warmth
1486,smells,of the sweet fruits,,,,,,,when they ripen,
1487,smell,of the dirt|the golden rays of the sun,rich,,,,,on her darkest days,,to make Kara ' s entire being burst with happiness
1488,scent,her,godly,,,,Kara,,,
1489,smells,She|of|of divine secrets|deep earth,strongly,,of|of,,,,,
1490,smell,of ash,faint,in the air,,On Krypton,,,,
1491,smell,of his musky cologne,,,,,,,,
1492,smell,of Earth,,,,,,,,
1493,It,,faint|unmistakable,,,,,at first,,
1494,sniffing,,,,,,,,,smiles away the feelings
1495,smell,Lena|of Earth|the faint,musky,,,,,,,Kara ' s lungs to capacity
1496,smells|stench,the bottle|of|of something decidedly,unmistakable sour,,of|of,on the table by,,,,
1497,smell,pine|oak|oak,strong|oak|oak,,,,,,,
1498,smell|scents,metal flowers|their,,,,,Kara,,,
1499,fetid|fetid,water,fetid|fetid,,,,,,,
1500,smell,grass and water|fresh dirt|from several patches of colorful flowers,sweet,,,,She,,,
1501,smell|intoxicating|intoxicating,of|combination of ripe fruit|deep rivers|rich layers of Earth,intoxicating|intoxicating|so very Lena,,,The chambers,,,,that it takes everything in Kara ' s power not to crumble at her feet
1502,aroma,of|of a|a mellow|mellow medium|medium brew|brew,heavenly,,of|of a|a mellow|mellow medium|medium brew|brew,,She|her,,,
1503,scent,of cinnamon and sugar,,,,,she,,,
1504,smells,several churros|an extra bag of something else,equally as inviting,,,,,,,
1505,It|smell|stench,of fear,,,,,she|her,,,makes her laugh under her breath
1506,aroma,The flowers,distinctly citrus,,,,,,,
1507,scents,,fruity floral|so strong,,,,you|you,,,you|you can taste them
1508,reeks,He,,,of,,,,,
1509,smell,of his wine - laden breath,the staleness,,,,She,,,
1510,scents,of sea salt|cedarwood|all things Lena,,,,,,,,
1511,smells|scent,Everything|of|of ash|of burning flesh,dark,,of|of,,,,,
1512,smell,death,,,,,Ares,,,
1513,smell,her|woodsmoke|salt,floral,,,,he,,,
1514,smell,of her,less bloody|more herbaceous,,,,,,,
1515,smell,,,,,,he,,,
1516,scent,of Fall,,,,,,,,
1517,smell|scent,of growth and soil|of inks and parchment,as soothing,,,,,By now,,
1518,scent,of pollen,heavy,,,in the greenhouse,,,,
1519,,,,,,,,,,
1520,,,,,,,,,,
1521,,,,,,,,,,
1522,,,,,,,,,,
1523,,,,,,,,,,
1524,smell,,as bad|strange,,,on the edge of the Territory,The twins|we,a few days back,,
1525,scent,of wolf,,,,,I,,,
1526,scent,my,,,,,most of the Pack,,,
1527,smell,of blood,iron|copper,,,from the open door,,,,
1528,scent,their whiskey|blood,,,,,,,,
1529,smells,It|of|of,,,of|of,,,,,
1530,smells,it|of,,,,,,,,
1531,scent,of joy and happiness,sweet,in the humid air,,,,,,
1532,inhaled|scent,,Sweet,,,,he,,,
1533,scent,,,,,,he,,,
1534,scent,his,,,,,,,,
1535,whiff|scent,the mutt ' s|of the prey,,,,from the alley,He|he,,,
1536,scents,of his co - workers,,,,,he,,as they fell into formation,
1537,scent,of|of a|a summer|summer noon|noon,,,of|of a|a summer|summer noon|noon,,,,,
1538,smelling,,,,,,I,,,in a prison
1539,smell,,,,,,a blind person,,,
1540,,,,,,,,,,
1541,,,,,,,,,,
1542,scent,Stiles ',,,,,he,,,
1543,smell,,,,,,his|he,,,
